game;elements;description;link;Action;Aventure;RPG;Plate-Forme;FPS;Course;Strategie;Sport;Reflexion;Combat;Simulation;Point'n Click;Infiltration;Gestion;Action RPG;Beat'em All;Survival-Horror;Rythme;Autres;Puzzle-Game;Shoot'em Up;Tactique;Shooter;MMO;MMORPG;Tactical RPG;Creation;TPS;Tir;Adresse;Sandbox;Roguelike;Survie;Open World;Wargame;Hack'n slash;Jeu de cartes;Runner;Dungeon RPG;4X;God Game;Visual Novel;MOBA;Tower Defense;Battle Royale;Ludo-Educatif;Simulation de vie;MMOFPS;City Builder;Jeu de societe;Management
Dead Cells;['Action', 'Aventure', 'Roguelike', 'Plate-Forme'];Dead Cells est un jeu d'action-aventure de type plate-forme avec des éléments de rogue-like. Le joueur doit explorer un château et résister à des hordes de zombies et de monstres. Pour ce faire, vous pouvez utiliser votre fouet et différentes armes en plus de la magie.;http://www.jeuxvideo.com/jeux/jeu-444745/;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Octopath Traveler;['RPG'];Octopath Traveler est un RPG développé par Square Enix en HD-2D. Vous pourrez choisir votre personnage parmi 8 présents, chacun ayant ses propres capacités, mais aussi ses propres objectifs, offrant une histoire différente.;http://www.jeuxvideo.com/jeux/jeu-593701/;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dragon's Crown Pro sur PS4;"[""Beat'em All""]";Déjà sorti sur PS3 et Vita il y a plusieurs années, Dragon's Crown fait son grand retour. Cette version supportera la 4K, son OST entièrement réenregistrées avec un orchestre symphonique et offrira du crossplay entre les différentes versions.;http://www.jeuxvideo.com/jeux/ps4/jeu-714096/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pillars of Eternity 2 : Deadfire;['RPG'];Pillars of Eternity 2 : Deadfire est un RPG développé par Obsidian Entertainment. Suite de Pillars of Eternity, vous y poursuivez un dieu sur terre comme sur mer. Pour cela vous disposez d'un navire pour voguer à travers les vastes régions de l'archipel inexploré de Deadfire.;http://www.jeuxvideo.com/jeux/jeu-487452/;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yakuza 6 : The Song of Life;['Action', 'Aventure'];Yakuza 6 sur PS4 est un jeu de type aventure en monde ouvert. Après les événements du 5e volet, on retrouve Kazuma, qui après avoir apprit qu'Haruka eu été gravement blessé, va tenter de l'aider et de trouver des réponses sur son agression. Pour cela, il va se rendre à Hiroshima, dernier endroit dans lequel s'est rendu la jeune fille. En plus de cela, des problèmes au sein du clan Tojo refont surface...;http://www.jeuxvideo.com/jeux/jeu-442753/;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Final Fantasy XV : Édition Royale;['Action RPG'];Final Fantasy XV : Édition Royale est une nouvelle version du jeu Final Fantasy XV sur PS4. Il donne accès au jeu de base ainsi qu'à tous les DLC issus du Season Pass et les mises à jour disponibles depuis la sortie du jeu.;http://www.jeuxvideo.com/jeux/jeu-807101/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Moss;['Aventure'];Moss est un jeu d'aventure en VR dans lequel vous devez dégager le passage devant la souris en utilisant les manettes à détection de mouvement de la réalité virtuelle. Vous devrez donc aider cette souris aventureuse à traverser les différents environnements.;http://www.jeuxvideo.com/jeux/jeu-671042/;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dragon Ball FighterZ;['Combat'];Dragon Ball FighterZ est un jeu de combat 2D développé par Arc System Works et édité par Bandai Namco. Cette nouvelle adaptation de la franchise Dragon Ball met en scène les personnages iconiques de la série dans des affrontements explosifs en 3 versus 3.;http://www.jeuxvideo.com/jeux/jeu-669755/;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monster Hunter World;['Action', 'RPG', 'Action RPG'];La dernière entrée de la série Monster Hunter. Plus complet que jamais, le jeu transporte le joueur au travers de batailles contre de terribles monstres et de magnifiques paysages. Récupérerez des objets sur vos ennemis, créez de nouveaux équipements et armures, explorez tous les territoires disponibles. Saurez vous devenir le chasseur ultime ?;http://www.jeuxvideo.com/jeux/jeu-670901/;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Celeste;['Action', 'Aventure'];Celeste est un jeu développé par Matt Thorson, créateur de Towerfall Ascension. Il s'agit d'un platformer dans lequel il faut atteindre le sommet d'une montagne dans plus de 600 niveaux sur huit chapitres réservant de nombreux secrets.;http://www.jeuxvideo.com/jeux/jeu-758962/;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hatsune Miku Project Diva Future Tone DX sur PS4;['Rythme'];Hatsune Miku Project Diva Future Tone DX sur Playstation 4 est la version physique du titre original Hatsune Miku Project Diva Future Tone, mais avec des contenus supplémentaires tels que des nouvelles musiques et nouveaux modules. Elle est proposée en édition standard et en collector.;http://www.jeuxvideo.com/jeux/ps4/jeu-676073/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Assassin's Creed Origins;['Infiltration', 'Action RPG', 'Open World'];Assassin's Creed Origins est un action RPG en monde ouvert incluant des mécaniques d'infiltration. Le titre vous fait visiter les terres mystérieuses de l'Egypte antique dans la peau de Bayek, nouveau héros d'un épisode nous dévoilant les origines de la création de la confrérie des assassins chère à la série phare d'Ubisoft.;http://www.jeuxvideo.com/jeux/jeu-669186/;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Doki Doki Literature Club !;['Visual Novel'];Doki Doki Literature Club ! est un visual novel dans lequel vous faites parti d'un club de lecture. Chaque journée vous donne droit à des activités différentes avec vos amies : Soyori, Natsuki et Yuri.;http://www.jeuxvideo.com/jeux/jeu-724330/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
A Robot Named Fight !;['Roguelike'];A Robot Named Fight ! est un metroidvania roguelike centré sur l'exploration et la collecte d'objets. Incarnez un robot solitaire chargé de stopper l'entité appelée Megabeast. Explorez des labyrinthes générés procéduralement, découvrez des améliorations et des artéfacts aléatoires, cherchez des secrets et explosez des créatures charnues dans ce metroidvania délicieusement gore.;http://www.jeuxvideo.com/jeux/jeu-710357/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yakuza Kiwami;['Action', 'Aventure'];Yakuza Kiwami est un jeu d'action dans lequel vous incarnez Kazuma Kiryu fraîchement sorti de prison. Tout a changé : votre amie d'enfance a été enlevée et dix milliards de yens manquent à l'appel. Sondez les profondeurs de la mafia japonaise avec l'aide de plus de 300 armes et objets pour découvrir la vérité. Frappez, interrogez, tuez et débloquez de nouvelles aptitudes en fonction de votre expérience.;http://www.jeuxvideo.com/jeux/jeu-442750/;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Final Fantasy XII : The Zodiac Age;['RPG'];Final Fantasy XII : The Zodiac Age est un RPG sur PS4. Il s'agit d'un remastered de Final Fantasy XII. Cette nouvelle version présente une fonction de partage et de gestion de trophée. Les combats se veulent dynamiques avec en plus une grande liberté de mouvement.;http://www.jeuxvideo.com/jeux/jeu-497264/;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mario Kart 8 Deluxe sur Switch;['Course'];Mario Kart 8 sur Switch est un jeu de course coloré et délirant qui reprend  les personnages phares des grandes licences Nintendo. Le joueur peut y affronter ses amis dans différents modes et types de coupes et a accès à 32 circuits aux environnements variés. Il est possible de jouer jusqu'à 12 simultanément en ligne et 4 en local.;http://www.jeuxvideo.com/jeux/switch/jeu-593932/;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
What Remains of Edith Finch;['Autres'];What Remains of Edith Finch sur PC, PS4 et Xbox One est une collection d'histoires courtes narrant les péripéties d'une famille maudite dans l'État de Washington. La maison dans laquelle se passe l'action est un acteur à part entière de l'intrigue et son architecture et son aménagement jouent un grand rôle dans l'histoire tragique qui nous est relatée.;http://www.jeuxvideo.com/jeux/jeu-83434/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Full Throttle Remastered;"[""Point'n Click""]";Full Throttle Remastered sur PS Vita est la version remasterisée de Full Throttle, Point'n Click sorti initialement en 1995. Dans cette nouvelle mouture, vous aurez la possibilité d'alterner entre les graphismes originaux et ceux remaniés. De même que ses décors, les arrangements musicaux ont fait l'objet d'un rafraîchissement important.;http://www.jeuxvideo.com/jeux/jeu-451952/;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Horizon : Zero Dawn - Complete Edition;['Action', 'Infiltration', 'RPG'];Horizon : Zero Dawn sur PS4 est un jeu de type Action-RPG en monde ouvert, jouable en solo. Dans un monde ouvert post-apocalyptique vibrant et luxuriant, de colossales créatures mécaniques parcourent des terres qu'elles ont arrachées aux mains de l'humanité. Vous incarnez Aloy, une chasseuse habile qui compte sur sa vitesse, sa ruse et son agilité pour rester en vie et protéger sa tribu des machines, de leur force, de leur taille et de leur puissance brute.;http://www.jeuxvideo.com/jeux/jeu-429582/;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nioh;['Action RPG'];Nioh est un action RPG développé par Koei Tecmo. L'aventure prend place durant la période Sengoku au Japon, époque ravagée par des guerres. Dans la peau du samouraï William, vous devrez combattre des adversaires tels que des démons ou des humains tout en utilisant divers armes comme des épées, des haches ou même des lances.;http://www.jeuxvideo.com/jeux/jeu-63789/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hatsune Miku Project Diva Future Tone sur PS4;['Rythme'];Project Diva Future Tone met en scène la chanteuse Hatsune Miku dans un jeu de rythme décliné en deux versions : Future Sound et Colorful Tone qui à elles deux proposent 220 chansons et 340 modules issus des opus sur PS3, PSP, Vita, 3DS et arcade.;http://www.jeuxvideo.com/jeux/ps4/jeu-443136/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hatsune Miku Project Diva Future Tone : Future Sound sur PS4;['Rythme'];"Project Diva Future Tone met en scène la chanteuse Hatsune Miku dans un jeu de rythme qui requiert toute l'adresse des joueurs. Cette version ""Future Sound"" propose de se frotter à 120 chansons des Project Diva sur PlayStation 3, PSP et Vita.";http://www.jeuxvideo.com/jeux/ps4/jeu-488312/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hatsune Miku Project Diva Future Tone : Colorful Tone sur PS4;['Rythme'];"Project Diva Future Tone met en scène la chanteuse Hatsune Miku dans un jeu de rythme qui requiert toute l'adresse des joueurs. Cette version ""Colorful Tone"" propose d'écouter 100 chansons de la version arcade et de Project Mirai sur Nintendo 3DS.";http://www.jeuxvideo.com/jeux/ps4/jeu-488319/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Shadow Tactics : Blades of the Shogun;['Stratégie', 'Tactique'];Shadow Tactics : Blades of the Shogun est un RTS tactique vous permettant de diriger une équipe de ninjas dont l'objectif est de tuer des cibles de grande envergure. L'histoire se déroule en 1615, lorsqu'un nouveau ninja monte au pouvoir au Japon et vise à ramener la paix dans le royaume. Dans son combat contre la rébellion, il recrute cinq spécialistes ayant des compétences extraordinaires pour l'assassinat, le sabotage et l'espionnage.;http://www.jeuxvideo.com/jeux/jeu-502630/;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Final Fantasy XV;['Action', 'RPG', 'Action RPG'];Anciennement nommé Final Fantasy XIII Versus, Final Fantasy XV est un J-RPG de la célèbre série Final Fantasy. Le joueur y incarne Noctis, héritier du roi, accompagné de ses amis, dans un monde moderne, sombre, et fantastique.;http://www.jeuxvideo.com/jeux/jeu-64672/;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Owlboy;['Aventure', 'Réflexion', 'Plate-Forme'];Dans Owlboy est un jeu d'aventure plateforme féerique en 2D. Incarnez un petit garçon pourvu d'ailes de hiboux et explorez un monde vibrant, tout en pixel. Les choses risquent de se corser avec l'apparition des pirates du ciel.;http://www.jeuxvideo.com/jeux/jeu-77890/;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
World of Final Fantasy;['Aventure'];"Le titre permet d'incarner Lann et Reynn dans une aventure se déroulant dans le monde de Grymoire où ils rencontreront différentes figures emblématiques de la série Final Fantasy. Par exemple, Lightning de Final Fantasy XIII et Cloud de Final Fantasy VII seront présents aux côtés du joueur dans cet épisode au gameplay ""classique"", avec un design toutefois plus enfantin par rapport aux autres épisodes connus de la saga Final Fantasy.";http://www.jeuxvideo.com/jeux/jeu-429884/;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
World of Warcraft : Legion;['MMORPG'];World of Warcraft: Legion est la sixième extension de jeu vidéo du jeu de rôle en ligne massivement multijoueur World of Warcraft. Elle a été annoncée à la gamescom et est axée sur le retour de la légion ardente en Azeroth.;http://www.jeuxvideo.com/jeux/add-on/jeu-105524/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pokémon GO;['Aventure'];Dans Pokémon Go, les joueurs peuvent attraper, échanger et faire combattre leurs Pokémon en utilisant leur localisation GPS. L'expérience du jeu mobile transpose l'univers de ces monstres de poche dans la vraie vie en partant à la recherche de ces créatures et en combattant dans des arènes à l'image des jeux sortis sur consoles portables.;http://www.jeuxvideo.com/jeux/jeu-442147/;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Starbound;['Action', 'Aventure', 'Survie'];Jeu d'aventure et d'exploration, Starbound vous oblige à fuir votre planète suite à l'attaque d'un inconnu et de ce fait il vous faudra vous établir sur une autre. Vous devrez monter votre QG là où vous le souhaitez et partir à la découverte de différentes planètes avec vos compagnons.;http://www.jeuxvideo.com/jeux/jeu-78490/;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Final Fantasy : Brave Exvius;['RPG'];Final Fantasy : Brave Exvius est un RPG sur mobile. Le titre alterne entre trois phases de jeu distinctes : balades dans les villages, combats contre des vagues d'ennemis au tour par tour et exploration de donjons. Il comporte un très grand nombre de figures emblématiques de la série Final Fantasy à débloquer, tous jouables et comportant chacun leurs propres techniques et magies à développer en montant de niveau.;http://www.jeuxvideo.com/jeux/jeu-446792/;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Odin Sphere : Leifthrasir;['RPG'];Odin Sphere : Leifthdrasir disponible sur PS4 est un remake du jeu de 2008, amenant de nouveaux graphismes HD et un nouveau système de combat. Vous incarnez toujours 5 personnages qui, à tour de rôle, vont vivre la même histoire mais d'un point de vue différent, pour tout doucement donner une forme à la trame scénaristique globale.;http://www.jeuxvideo.com/jeux/jeu-435117/;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fire Emblem Fates : Héritage sur 3DS;['RPG', 'Tactical RPG'];Fire Emblem Fates est un jeu de rôle tactique sur 3DS. Il se décline en deux versions différentes : Héritage et Conquête, avec un troisième scénario baptisé Revelation disponible en DLC. Chacune de ces versions nous invite à rejoindre un camp différent pour autant de points de vue distincts sur l'histoire.;http://www.jeuxvideo.com/jeux/3ds/jeu-429812/;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fire Emblem Fates : Conquête sur 3DS;['Tactical RPG'];Fire Emblem Fates est un jeu de rôle tactique sur 3DS. Il se décline en deux versions différentes : Héritage et Conquête, avec un troisième scénario baptisé Revelation disponible en DLC. Chacune de ces versions nous invite à rejoindre un camp différent pour autant de points de vue distincts sur l'histoire.;http://www.jeuxvideo.com/jeux/3ds/jeu-449852/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Enter the Gungeon;['Action', 'Aventure'];Enter the Gungeon est un dungeon crawler en mode gunfight avec son lot de loot, de tirs d'esquives et de jet de table. Le but sera de retrouver le trésor légendaire le plus convoité au monde : le pistolet qui peut tuer le passé. Tout un programme !;http://www.jeuxvideo.com/jeux/jeu-83440/;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
God of War sur PS4;"[""Beat'em All""]";Dans ce nouvel épisode de God Of War, le héros évoluera dans un monde aux inspirations nordiques, très forestier et montagneux. Dans ce beat-them-all, un enfant accompagnera le héros principal, pouvant apprendre des actions du joueur, et même gagner de l'expérience.;http://www.jeuxvideo.com/jeux/ps4/jeu-410395/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Legend of Zelda : Breath of the Wild;['Action', 'Aventure', 'RPG'];The Legend of Zelda : Breath of the Wild est un jeu d'action/aventure. Link se réveille d'un sommeil de 100 ans dans un royaume d'Hyrule dévasté. Il lui faudra percer les mystères du passé et vaincre Ganon, le fléau. L'aventure prend place dans un gigantesque monde ouvert et accorde ainsi une part importante à l'exploration. Le titre a été pensé pour que le joueur puisse aller où il veut dès le début, s'éloignant de la linéarité habituelle de la série.;http://www.jeuxvideo.com/jeux/jeu-77113/;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Legend of Zelda : The Wind Waker sur NGC;['Action', 'Aventure', 'RPG'];Dans The Legend of Zelda : The Wind Waker, vous incarnez Link dans sa quête pour sauver sa sœur. Découvrez Hyrule sous les flots dans ce jeu d'aventure en style cartoon, et naviguez au dos du Lion Rouge en vous orientant grâce à la Baguette du Vent pour explorer toutes les îles de ce vaste océan et dévoiler les secrets et les donjons qu'elles renferment.;http://www.jeuxvideo.com/jeux/jeu-61569/;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Death Stranding;['Action'];Death Stranding est un jeu d'action dans lequel la mort fait partie intégrante du gameplay. La mort est un des thèmes principaux, et les développeurs ont fait en sorte que les joueurs ne la voient pas comme une fin. L'histoire s'annonce sombre dans cet univers futuriste et fantastique.;http://www.jeuxvideo.com/jeux/jeu-501371/;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Red Dead Redemption II;['Action', 'TPS', 'Aventure'];Suite du précédent volet multi récompensé, Red Dead Redemption II nous permet de nous replonger sur PS4 dans une ambiance western synonyme de vastes espaces sauvages et de villes malfamées. L'histoire se déroule en 1899, avant le premier Red Dead Redemption, au moment où Arthur Morgan doit fuir avec sa bande à la suite d'un braquage raté.;http://www.jeuxvideo.com/jeux/jeu-554033/;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Valkyria Chronicles 4;['Aventure'];Le continent imaginaire d'Europa est pris dans les flammes de la seconde guerre européenne entre la Fédération Atlantique et l'Alliance Impériale Autocratique de l'Est. Alors que la victoire semble de plus en plus compromise pour la Fédération, cette dernière lance l'Opération Croix du Nord. Le commandant Claude Wallace et ses amis d'enfance sont envoyés dans le cadre de cette opération... et vous de découvrir une terrible vérité.;http://www.jeuxvideo.com/jeux/jeu-748395/;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Okami HD;['Action', 'Aventure'];Okami est un jeu d'aventure et d'action sur Xbox One. Le titre dispose d'un aspect graphique très particulier, et vous propose d'incarner la déesse Amaterasu réincarnée en un magnifique loup blanc, dans une quête pour redonner de la vie et de la couleur dans votre monde, terrorisé par de nombreux ennemis qui font régner les ténèbres. Battez-vous au moyen d'un pinceau, véritable prolongement du personnage qu'on incarne, et utilisez-le également pour avancer dans l'histoire.;http://www.jeuxvideo.com/jeux/jeu-709711/;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Super Mario Odyssey sur Switch;['Plate-Forme'];Super Mario Odyssey est un jeu de plate-forme sur Switch où la princesse Peach a été enlevée par Bowser. Pour la sauver, Mario quitte le royaume Champignon à bord de l'Odyssey. Accompagné de Chappy, son chapeau vivant, il doit parcourir différents royaumes et faire tout pour vaincre, une nouvelle fois, le terrible Bowser.;http://www.jeuxvideo.com/jeux/switch/jeu-593682/;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Divinity : Original Sin II - Definitive Edition;['RPG'];Divinity : Original Sin II est un RPG où vous choisissez votre race et et votre background. Le monde réagit en fonction de vos choix. Rassemblez votre équipe et affrontez vos adversaires avec différents éléments de combat tactique au tour par tour. Explorez un vaste monde seul ou avec 4 joueurs en coopératif.;http://www.jeuxvideo.com/jeux/jeu-438512/;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zero Escape : The Nonary Games;['Aventure'];Zero Escape: The Nonary Games est un jeu d'aventure jouable en solo. Enlevées puis amenées dans un lieu inconnu, neuf personnes se retrouvent forcées de participer à un jeu diabolique orchestré par l’énigmatique Zero. Pourquoi ? A qui faire confiance ?;http://www.jeuxvideo.com/jeux/jeu-625331/;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NieR Automata;['Action RPG'];"Nier Automata est un jeu d'action de type RPG jouable en solo. Le titre amène le joueur dans un futur lointain où la Terre a été envahie par des formes extra-terrestres armées de ""bio-machines"". Après s'être réfugiée sur la lune, l'humanité envoie sur leur planète natale des androïdes capable de lutter avec les extra-terrestres et reconquérir la planète.";http://www.jeuxvideo.com/jeux/jeu-429839/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dishonored 2;['Action', 'FPS', 'Infiltration'];Suite du primé Dishonored, un jeu à la première personne à la croisée des genres action et infiltration se déroulant dans un univers steampunk uchronique. Pouvoirs, assassinats, complots sont au programme.;http://www.jeuxvideo.com/jeux/jeu-429098/;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
